lib_name,lib_address,latitude,longitude,lib_name_survey,lib_address_survey,broadband,wifi,down_open,upload_open,down_midday,upload_midday,down_close,upload_close,avg_down_speed,avg_up_speed
Gridley Public Library District,"320 Center Street Gridley, IL 61744-9900",40.739448,-88.88036509999999,,,,,,,,,,,,
Groff Memorial Library,"118 South Middle Street Grayville, IL 62844-1678",38.2568701,-87.9952708,Groff Memorial Public Library & Museum,"118 S. Middle St., Grayville, IL  62844",Yes,Yes,94.0,32.0,94.0,34.0,94.0,32.0,94.0,32.666666666666664
H.A. Peine District Library,"202 North Main Street Minier, IL 61759-0019",40.4346073,-89.3145778,,,,,,,,,,,,
Hamilton Public Library,"861 Broadway Street Hamilton, IL 62341-1434",40.3933565,-91.3469276,,,,,,,,,,,,
Hanover Township Library,"204 Jefferson Street Hanover, IL 61041-0475",42.2564852,-90.2838509,,,,,,,,,,,,
Harrisburg Public Library District,"2 West Walnut Street Harrisburg, IL 62946-1261",37.7405969,-88.5405952,Harrisburg Public Library District,"2 W Walnut Street, Harrisburg, IL 62946",Yes,Yes,,,92.0,34.0,,,92.0,34.0
Harristown Public Library District,"Barclay Public Library Warrensburg, IL 62573-0349",39.9293065,-89.0620635,,,,,,,,,,,,
Hartford Public Library District,"143 West Hawthorne Street Hartford, IL 62048-1020",38.8337812,-90.0980795,Hartford Public Library District,"143 W. Hawthorne St. Hartford, IL 62048",Yes,Yes,320.0,12.0,320.0,12.0,320.0,12.0,320.0,12.0
Harvard Diggins Library,"900 East McKinley Street Harvard, IL 60033-1800",42.425553,-88.6021529,,,,,,,,,,,,
Harvey Public Library District,"15441 Turlington Avenue Harvey, IL 60426-3616",41.6085302,-87.6474638,Harvey Public Library District,15441 Turlington Ave,Yes,Yes,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
Havana Public Library District,"201 West Adams Street Havana, IL 62644-1321",40.2991532,-90.0625975,Havana Public Library District,"201 W. Adams St., Havana, IL 62644",Yes,Yes,320.0,198.0,320.0,320.0,320.0,320.0,320.0,279.3333333333333
Genealogy & Local History Library,"401 State Street Alton, IL 62002-6137",38.8922811,-90.1881541,,,,,,,,,,,,
Hayner Library at Alton Square Mall,"132 Alton Square Mall Drive Alton, IL 62002-5917",38.9211491,-90.172592,,,,,,,,,,,,
Downtown Library,"326 Belle Street Alton, IL 62002-6115",38.8919009,-90.1878859,,,,,,,,,,,,
Downtown Library,"401 19th Street Rock Island, IL 61201-8124",41.5085285,-90.5728495,,,,,,,,,,,,
Helen Plum Library,"411 S Main Street Lombard, IL 60148-2633",41.87995799999999,-88.017565,Helen Plum Library,"411 S Main St, Lombard, IL 60148",Yes,Yes,320.0,33.0,320.0,29.0,320.0,35.0,320.0,32.333333333333336
Henderson County Public Library District,"110 Hill Crest Drive Biggsville, IL 61418-9106",40.8496031,-90.8622261,,,,,,,,,,,,
Henry C. Adams Memorial Library,"209 West Third Street Prophetstown, IL 61277-1124",41.6712803,-89.93807749999999,,,,,,,,,,,,
Henry Public Library,"702 Front Street Henry, IL 61537-0183",41.1087523,-89.3562788,,,,,,,,,,,,
Herrick Township Public Library,"303 North Broadway Street Herrick, IL 62431-1001",39.2238462,-88.98427690000001,,,,,,,,,,,,
Herrin City Library,"120 North 13th Street Herrin, IL 62948-3233",37.8040037,-89.02487819999999,,,,,,,,,,,,
Administrative/Central Library,"119 East Main Street Heyworth, IL 61745",40.3138852,-88.97664999999999,,,,,,,,,,,,
Highland Park Public Library,"494 Laurel Avenue Highland Park, IL 60035-2623",42.1844,-87.79669820000001,Highland Park Public Library,"494 Laurel Ave, Highland Park, IL 60035",Yes,Yes,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Highwood Public Library,"102 Highwood Avenue Highwood, IL 60040-1520",42.202256,-87.81083799999999,,,,,,,,,,,,
Hillsboro Area Public Library District,"420 S Main Hillsboro, IL 62049-1434",39.15810889999999,-89.4937449,,,,,,,,,,,,
Hillside Public Library,"405 North Hillside Avenue Hillside, IL 60162-1295",41.8771059,-87.90784210000001,Hillside Public Library,"405 N Hillside Ave, Hillside 60162",Yes,Yes,85.0,4.0,222.0,23.0,83.0,5.0,130.0,10.666666666666666
Hinckley Public Library District,"100 North Maple Street Hinckley, IL 60520-9385",41.769605,-88.6393236,Hinckley Public Library District,"100 Maple St, Hinckley IL 60520",Yes,Yes,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
Hinsdale Public Library,"20 East Maple Street Hinsdale, IL 60521-3432",41.8044359,-87.92865429999999,,,,,,,,,,,,
Hodgkins Public Library District,"6500 Wenz Avenue Hodgkins, IL 60525-7632",41.7715218,-87.8560304,,,,,,,,,,,,
Homer Community Library,"500 East Second Street Homer, IL 61849-1149",40.0381885,-87.9519747,,,,,,,,,,,,
Homer Township Public Library District,"14320 West 151st Street Homer Glen, IL 60491-6776",41.6144059,-87.967495,,,,,,,,,,,,
Hometown Public Library,"4331 Southwest Highway Hometown, IL 60456-1161",41.7281785,-87.73017089999999,,,,,,,,,,,,
Homewood Public Library District,"17917 Dixie Highway Homewood, IL 60430-1794",41.5640607,-87.66452819999999,,,,,,,,,,,,
Hoopeston Public Library District,"110 North Fourth Street Hoopeston, IL 60942-1422",40.4685803,-87.6649329,,,,,,,,,,,,
Hooppole Library District,"Annawan Alba Township Library Annawan, IL 61234-7607",41.3972573,-89.9045517,,,,,,,,,,,,
Hope Welty Public Library District,"100 South Madison Street Cerro Gordo, IL 61818-0260",39.884333,-88.7294277,,,,,,,,,,,,
Hudson Area Public Library District,"104 Pearl Street Hudson, IL 61748-0461",40.6046379,-88.9921968,,,,,,,,,,,,
Huntley Area Public Library District,"11000 Ruth Road Huntley, IL 60142-6947",42.169657,-88.41172019999999,,,,,,,,,,,,
Ida Public Library,"320 North State Street Belvidere, IL 61008-3225",42.2616219,-88.84612039999999,,,,,,,,,,,,
Illinois Prairie District Public Library,"208 East Partridge Street Metamora, IL 61548-0770",40.7912385,-89.3613333,,,,,,,,,,,,
Benson Branch Library,"420 East Front Street Benson, IL 61516-9664",40.8505783,-89.12034539999999,,,,,,,,,,,,
Marcella Schneider Branch Library at Germantown Hills,"509 Woodland Knolls Road Germantown Hills, IL 61548-8696",40.7673574,-89.4744023,,,,,,,,,,,,
Roanoke Branch Library,"123 East Broad Street Roanoke, IL 61561-7547",40.79716579999999,-89.1954063,,,,,,,,,,,,
Spring Bay Branch Library,"411 Illinois Street East Peoria, IL 61611",40.632954,-89.57584229999999,,,,,,,,,,,,
Washburn Branch Library,"102 West Magnolia Drive Washburn, IL 61570",40.9205995,-89.2914063,,,,,,,,,,,,
Illiopolis/Niantic Public Library District,"401 6th Street Illiopolis, IL 62539",39.8535496,-89.2409631,,,,,,,,,,,,
Indian Prairie Public Library District,"401 Plainfield Road Darien, IL 60561-4207",41.7562775,-87.95530520000001,Indian Prairie Public Library,"401 Plainfield Road, Darien, IL 60561",Yes,Yes,82.0,83.0,87.0,85.0,92.0,79.0,87.0,82.33333333333333
Indian Trails Public Library District,"355 Schoenbeck Road Wheeling, IL 60090-4467",42.1326831,-87.9451982,,,,,,,,,,,,
Prospect Heights Branch,"99 East Palatine Road Prospect Heights, IL 60070",42.1091042,-87.891622,Indian Trails Public Library District,"99 East Palatine Road, Suite A",Yes,Yes,181.0,169.0,143.0,149.0,182.0,176.0,168.66666666666666,164.66666666666666
Itasca Community Library,"500 West Irving Park Road Itasca, IL 60143-2093",41.9708927,-88.0203338,Itasca Community Library,500 W IRVING PARK RD,Yes,Yes,106.0,26.0,105.0,19.0,76.0,30.0,95.66666666666667,25.0
Jacksonville Public Library,"201 West College Avenue Jacksonville, IL 62650-1814",39.73209720000001,-90.2302558,,,,,,,,,,,,
Jerseyville Public Library,"105 North Liberty Street Jerseyville, IL 62052-1512",39.1188173,-90.3300974,Jerseyville Public Library,"105 N. Liberty, Jerseyville, IL 62052",Yes,Yes,46.0,52.0,49.0,53.0,45.0,53.0,46.666666666666664,52.666666666666664
John Mosser Public Library District,"106 West Meek Street Abingdon, IL 61410-1451",40.80212,-90.3991558,John Mosser Public Library District,106 W. Meek Street,Yes,Yes,,,,,,,,
Johnsburg Public Library District,"3000 North Johnsburg Road Johnsburg, IL 60051-5120",42.3818191,-88.23642,Johnsburg Public Library,"3000 N. Johnsburg Road, Johnsburg, IL 60051",Yes,Yes,320.0,40.0,320.0,38.0,320.0,39.0,320.0,39.0
